Nr,X1,Y1,X2,Y2
1998,650602.256547,420260.763996,650607.155304,420261.765084
1999,650628.602599,420267.337015,650623.629671,420266.817416
1346,650241.02636,436982.238265,650245.664164,436984.106626
1347,650242.106815,436979.429603,650246.744619,436981.297963
1348,650253.68253,436984.290744,650249.046843,436982.417135
1349,650252.766582,436986.834871,650248.130895,436984.961263
1350,650263.808739,436924.840377,650268.454967,436926.68769
1351,650275.866529,436929.277899,650271.219253,436927.433224
1352,650361.007368,436681.621026,650365.647008,436683.484823
1353,650372.599364,436686.024189,650367.956566,436684.168272
1358,650384.264307,436623.174191,650388.903947,436625.037987
1359,650395.790019,436627.820798,650391.147221,436625.964882
1360,650407.646867,436564.614698,650412.286507,436566.478495
1361,650418.820669,436569.24202,650414.177871,436567.386103
1362,650432.022663,436506.596479,650436.632117,436508.533729
1363,650442.392614,436510.756187,650437.749581,436508.900857
1364,650455.924095,436448.510575,650460.561232,436450.380592
1365,650465.531772,436452.249069,650460.884702,436450.403876
1366,650479.315242,436390.103061,650483.961028,436391.951486
1367,650488.772876,436393.842156,650484.125806,436391.996962
1368,650502.774778,436331.194557,650507.420564,436333.042982
1369,650512.213129,436335.285562,650507.566059,436333.440368
1370,650526.000926,436272.8254,650530.646712,436274.673825
1371,650535.412766,436276.756115,650530.765696,436274.910922
1372,650549.826299,436213.517201,650554.472085,436215.365627
1373,650559.025427,436217.303895,650554.378357,436215.458702
1374,650573.377763,436154.40091,650578.023549,436156.249335
1375,650582.81371,436157.891731,650578.169145,436156.04024
1376,650596.974049,436094.629633,650601.619834,436096.47806
1377,650606.354559,436098.488033,650601.709995,436096.636541
1378,650620.721335,436035.321097,650625.36712,436037.169523
1379,650630.090397,436038.905316,650625.450055,436037.043268
1380,650644.229208,435975.99525,650648.874994,435977.843675
1381,650653.855579,435979.231773,650649.208182,435977.387403
1382,650666.292832,435921.324225,650670.938618,435923.17265
1383,650667.465476,435918.282352,650672.111261,435920.130778
1384,650676.891185,435921.799078,650672.246738,435919.947292
1385,650675.687809,435924.918685,650671.043362,435923.066899
1386,650689.211915,435863.426283,650693.857341,435865.275613
1387,650690.380339,435860.622433,650695.025765,435862.471762
1388,650699.595143,435864.445273,650694.948118,435862.599965
1389,650698.654497,435867.279253,650694.007472,435865.433945
1390,650711.973323,435806.005021,650716.624412,435807.840061
1391,650721.498462,435809.800743,650716.851391,435807.955551
1392,650734.437858,435750.335693,650739.088947,435752.170734
1393,650743.827416,435753.868082,650739.180345,435752.02289
1394,650754.946698,435698.308895,650759.597787,435700.143935
1395,650764.187417,435702.141975,650759.540347,435700.296781
1396,650774.24028,435645.700335,650778.940903,435647.404489
1397,650784.177595,435649.059778,650779.487443,435647.327013
1398,650792.500971,435592.918287,650797.271444,435594.415814
1399,650802.271972,435596.092131,650797.500706,435594.597132
1400,650808.526341,435539.325122,650813.336103,435540.691208
1401,650818.817982,435542.015686,650814.005502,435540.659206
1402,650822.564076,435485.109238,650827.415711,435486.318221
1403,650832.923905,435487.319876,650828.067714,435486.129325
1404,650834.454032,435430.392957,650839.3598,435431.359103
1405,650844.679683,435432.272964,650839.765999,435431.347919
1406,650843.907999,435375.561626,650848.852219,435376.3064
1407,650854.191125,435377.110812,650849.247685,435376.360879
1408,650851.217854,435319.891222,650856.185107,435320.462534
1409,650861.70851,435321.099699,650856.740171,435320.537908
1410,650856.421637,435264.248322,650861.403492,435264.673907
1411,650866.933461,435264.786104,650861.944036,435264.46109
1412,650859.237994,435207.649933,650864.236329,435207.778966
1413,650869.450699,435208.349586,650864.454192,435208.162724
1414,650859.705065,435151.896347,650864.705057,435151.905089
1415,650870.103181,435151.847086,650865.10392,435151.933068
1416,650858.02139,435095.938087,650863.018791,435095.77688
1417,650868.454234,435095.638917,650863.459634,435095.871223
1418,650854.268646,435040.185982,650859.254431,435039.809222
1419,650864.555767,435039.102358,650859.57791,435039.572403
1420,650848.660481,434984.337895,650853.631225,434983.797795
1421,650858.719435,434983.443124,650853.746946,434983.966911
1422,650842.152064,434927.938803,650847.117297,434927.35019
1423,650852.15684,434926.986798,650847.192176,434927.580185
